Job_Title,Company_name,Job_location,Company_Experience,Job_skills
DVA Modeling Engineer / Program Lead,Ford,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['PLM', 'Assembly process', 'CAD', 'SPC', 'Program Lead', 'Six sigma', 'Process', 'Six']"
Site Audit,Samsung India,"Hyderabad, Chennai, Bengaluru",0-0 Yrs,"['Entry Level', 'B.COM', 'site audit', '2023 Batch', 'Freshers', 'fresher', 'Non IT', 'Computer Science']"
Lead Inquiry To Order (ITO) Project Engineer,Baker Hughes,"Hyderabad/Secunderabad, Bangalore/Bengaluru",8-9 Yrs,"['Networking', 'Ergonomics', 'Pressure vessels', 'Pumps', 'Packaging', 'Valves', 'Material selection', 'Heat exchangers']"
TechMahindra | Oil&Gas Opportunity | Detailengineering,Tech Mahindra,"Hybrid - Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Vadodara/ Baroda, Gujarat",5-10 Yrs,"['detail engineering', 'Civil', 'Piping', 'Mechanical', 'planning engineers', 'Project controls', 'Electrical', 'Offshore structural']"
Functional Safety Engineer,Tech Mahindra,"Hyderabad, Telangana, Bengaluru",4-9 Yrs,"['FTA', 'Functional Safety', 'ISO', 'Functional', 'Safety']"
Graduate Engineer Trainee,Kone,"Hyderabad, Telangana, Chennai",0-5 Yrs,"['Sales engineer', 'Lift sales', 'Modernization', 'MOD Sales', 'elevator sales', 'Sales', 'Sales engineering', 'Training']"
Trainee - Civil Engineer,Nordic Intent,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-1 Yrs,"['Civil', 'Consulting', 'Asce', 'Budgeting', 'Training', 'Civil engineering']"
Documentation Engineer,Alstom Transportation,Hyderabad/Secunderabad,5-7 Yrs,"['Maintenance Documentation', 'Agile', 'Technical Publishing', 'Documentation Engineer', 'Documentation', 'Publishing', 'Technical', 'Maintenance']"
Electromechanical Engineer,Alstom Transportation,Hyderabad/Secunderabad,1-2 Yrs,"['CAD', '3D', 'Electrical design', 'Costing', 'Electromechanical Engineer', 'Project planning', 'Electromechanical', 'Electricals']"
Engineer/Senior Engineer - Chipset Power,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,1-6 Yrs,"['Graphics', 'Electrical engineering', 'Software design', 'WAN', 'Staffing', 'SOC', 'Hardware', 'Recruitment']"
Team Lead - STF (Module)_DM,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10 Yrs,"['Minitab', 'SAP', 'Renewable energy', 'Shop floor', 'Cost reduction', 'Solar energy', 'wind energy', 'MS Office']"
Solar GM Reliability Assurance_DM,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",7-10 Yrs,"['RCA', 'Assurance', 'Senior management', 'Manager Technology', 'EPC', 'SCM', 'Operations', 'Cost optimization']"
Deputy Manager - Production,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-12 Yrs,"['Training', 'Renewable energy', 'Senior management', 'Staffing', 'Solar energy', 'Power sector', 'Workflow', 'wind energy']"
Cell Prod Professional,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Material management', 'CTQ', 'Root cause analysis', 'Automation', 'Data analysis', 'Renewable energy', 'Manufacturing process', 'Shop floor']"
Trainee Production Engineer,Nordic Intent,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",,
Walk-in Interview For Electricians And Mechanical Technicians,Sodexo,,,"['Mechanical Equipments', 'Transformers', 'Star Delta Starters', 'Nitrogen Plant', 'LT', 'Motors', 'Compressors', 'HT']"
Commercial Manager - Data Centres,CIMIC Group,"Hyderabad, Telangana",15-20 Yrs,"['Commercial', 'Contract Management', 'Billing', 'Data Center', 'Management', 'Commercial management', 'Center', 'Contracts']"
Construction Manager - Data Centres,CIMIC Group,"Hyderabad, Telangana",8-13 Yrs,"['Project Execution', 'Construction Management', 'Project Monitoring', 'Project Control', 'Project Planning', 'Site Management', 'Construction', 'Management']"
Electromechanical Engineer,Alstom Transportation,Hyderabad/Secunderabad,4-8 Yrs,"['Electromechanical Engineering', 'Computer Aid Designer', '3D', '2D', 'design annotations', 'CAD', 'Mechanical Engineering', 'Digital Mock-Up']"
Maintenance-Plumber,Marriott,Hyderabad/Secunderabad,1-4 Yrs,"['Supervisor', 'C', 'Safety training', 'Senior Executive', 'Inspection', 'Management', 'Training', 'Supervision']"
